,Year,Commune,District,Canton,Canton (-) / District (>>) / Commune (......),Population type,Place of birth,Citizenship - Total,Switzerland,Albania,Andorra,Belgium,Bulgaria,Denmark,Germany,Finland,France,Greece,United Kingdom,Ireland,Iceland,Italy,Liechtenstein,Luxembourg,Malta,Monaco,Netherlands,Norway,Austria,Poland,Portugal,Romania,San Marino,Sweden,Spain,Turkey,Hungary,Vatican City,Cyprus,Slovakia,Czech Republic,Serbia,Croatia,Slovenia,Bosnia and Herzegovina,Montenegro,Macedonia,Kosovo,Estonia,Latvia,Lithuania,Moldova,Russia,Ukraine,Belarus,Equatorial Guinea,Ethiopia,Djibouti,Algeria,Angola,Botswana,Burundi,Benin,Côte d'Ivoire,Gabon,Gambia,Ghana,Guinea-Bissau,Guinea,Cameroon,Cape Verde,Kenya,Comoros,Congo (Brazzaville),Congo (Kinshasa),Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Morocco,Mauritania,Mauritius,Mozambique,Niger,Nigeria,Burkina Faso,Zimbabwe,Rwanda,Zambia,São Tomé and Príncipe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,Sudan,Namibia,Swaziland,Tanzania,Togo,Chad,Tunisia,Uganda,Egypt,Central African Republic,Eritrea,South Sudan,Western Sahara,Argentina,Bahamas,Barbados,Bolivia,Brazil,Chile,Costa Rica,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Belize,Honduras,Jamaica,Canada,Colombia,Cuba,Mexico,Nicaragua,Panama,Paraguay,Peru,Suriname,Trinidad and Tobago,Uruguay,Venezuela,United States,Dominica,Grenada,Antigua and Barbuda,Saint Lucia,Saint Vincent and the Grenadines,Saint Kitts and Nevis,Afghanistan,Bahrain,Bhutan,Brunei,Myanmar,Sri Lanka,Taiwan (Chinese Taipei),China,India,Indonesia,Iraq,Iran,Israel,Japan,Yemen,Jordan,Cambodia,Qatar,Kuwait,Laos,Lebanon,Malaysia,Maldives,Oman,Mongolia,Nepal,North Korea,United Arab Emirates,Pakistan,Philippines,Saudi Arabia,Singapore,South Korea,Syria,Thailand,Vietnam,Bangladesh,Timor-Leste,Palestine,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,Australia,Fiji,Nauru,Vanuatu,New Zealand,Papua New Guinea,Tonga,Samoa,Solomon Islands,Tuvalu,Kiribati,Marshall Islands,Micronesia,Palau,Stateless,Not attributable according to current borders,No indication
0,2016,,,,Switzerland,Non permanent resident population,Place of birth - Total,77763,0,217,2,601,752,162,12190,204,4996,534,2758,225,14,6986,14,42,8,2,792,74,1722,3637,6850,2132,1,426,2529,568,2480,0,19,2073,931,454,297,415,136,24,342,521,65,129,216,29,569,390,54,1,482,3,170,38,0,11,8,83,4,55,34,20,212,150,23,24,1,5,114,0,6,57,20,5,21,278,10,22,2,5,156,20,12,9,5,0,41,0,36,725,62,56,2,0,8,35,5,116,12,111,10,2274,6,1,76,2,0,29,608,64,29,39,56,7,8,0,7,0,15,3,497,131,17,208,5,7,11,42,2,1,7,43,2059,0,1,0,0,0,0,1692,1,0,1,12,821,58,1109,2197,110,646,388,86,346,18,18,3,2,9,1,60,95,1,2,53,27,11,6,103,264,65,113,160,1202,152,104,26,0,5,43,19,135,32,10,9,2,8,206,2,0,0,35,0,0,0,0,0,0,0,0,0,5,0,168
1,2016,,,,Switzerland,Non permanent resident population,Switzerland,1880,0,9,0,4,1,2,74,1,73,8,19,0,0,230,5,0,0,0,12,3,15,15,286,14,0,4,78,28,12,0,1,8,8,18,11,2,7,5,24,88,0,1,0,0,13,11,3,0,31,0,6,9,0,0,0,0,0,0,3,0,5,13,3,3,0,1,15,0,0,0,2,0,0,14,0,0,0,0,8,0,0,0,0,0,4,0,0,41,0,1,0,0,0,1,0,3,0,1,1,160,0,0,0,0,0,0,31,2,0,5,6,0,0,0,0,0,1,0,7,0,0,1,1,0,0,0,0,0,0,1,13,0,0,0,0,0,0,105,0,0,0,0,15,0,13,33,1,54,13,0,2,1,2,0,0,1,0,2,1,0,0,1,1,0,0,1,1,4,1,0,95,9,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2,2016,,,,Switzerland,Non permanent resident population,Abroad,75883,0,208,2,597,751,160,12116,203,4923,526,2739,225,14,6756,9,42,8,2,780,71,1707,3622,6564,2118,1,422,2451,540,2468,0,18,2065,923,436,286,413,129,19,318,433,65,128,216,29,556,379,51,1,451,3,164,29,0,11,8,83,4,55,31,20,207,137,20,21,1,4,99,0,6,57,18,5,21,264,10,22,2,5,148,20,12,9,5,0,37,0,36,684,62,55,2,0,8,34,5,113,12,110,9,2114,6,1,76,2,0,29,577,62,29,34,50,7,8,0,7,0,14,3,490,131,17,207,4,7,11,42,2,1,7,42,2046,0,1,0,0,0,0,1587,1,0,1,12,806,58,1096,2164,109,592,375,86,344,17,16,3,2,8,1,58,94,1,2,52,26,11,6,102,263,61,112,160,1107,143,104,26,0,4,42,19,132,31,10,9,2,8,206,2,0,0,35,0,0,0,0,0,0,0,0,0,5,0,136
3,2016,,,Zurich,- Zürich,Non permanent resident population,Place of birth - Total,12956,0,84,1,65,117,53,1800,60,275,87,884,89,2,564,3,8,1,1,154,18,264,775,267,500,1,119,397,104,232,0,5,267,135,139,85,38,43,7,34,87,12,17,36,1,132,58,10,0,74,1,12,1,0,0,0,10,0,8,7,0,15,5,1,5,0,0,5,0,0,11,1,1,4,29,0,1,0,0,24,2,5,1,1,0,1,0,2,127,13,10,1,0,1,0,0,8,4,22,6,381,0,0,12,0,0,4,97,13,3,7,6,0,1,0,1,0,2,1,104,22,5,30,0,2,2,8,0,0,0,5,796,0,0,0,0,0,0,324,0,0,0,0,162,22,364,1043,34,129,67,37,98,1,1,0,0,8,0,9,21,0,0,2,6,10,3,19,76,32,49,32,259,36,12,3,0,1,5,3,5,4,3,0,1,1,85,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,22
4,2016,,,Zurich,- Zürich,Non permanent resident population,Switzerland,269,0,1,0,0,0,0,9,0,1,1,3,0,0,26,0,0,0,0,1,0,1,2,3,0,0,2,5,6,2,0,0,1,1,5,1,0,1,2,0,6,0,0,0,0,3,2,1,0,9,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,1,33,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,33,0,0,0,0,4,0,3,16,0,12,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
5,2016,,,Zurich,- Zürich,Non permanent resident population,Abroad,12687,0,83,1,65,117,53,1791,60,274,86,881,89,2,538,3,8,1,1,153,18,263,773,264,500,1,117,392,98,230,0,5,266,134,134,84,38,42,5,34,81,12,17,36,1,129,56,9,0,65,1,12,0,0,0,0,10,0,8,6,0,15,4,1,5,0,0,4,0,0,11,1,1,4,28,0,1,0,0,22,2,5,1,1,0,1,0,2,116,13,10,1,0,1,0,0,7,4,22,5,348,0,0,12,0,0,4,95,13,3,7,6,0,1,0,1,0,2,1,104,22,5,30,0,2,2,8,0,0,0,5,789,0,0,0,0,0,0,291,0,0,0,0,158,22,361,1027,34,117,67,37,96,1,1,0,0,7,0,9,20,0,0,2,5,10,3,18,76,31,49,32,229,36,12,3,0,1,5,3,5,4,3,0,1,1,85,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,15
6,2016,,Bezirk Affoltern,Zurich,>> Bezirk Affoltern,Non permanent resident population,Place of birth - Total,298,0,0,0,0,2,0,20,1,0,1,3,0,0,8,0,0,0,0,0,0,2,8,4,8,0,0,6,1,3,0,1,3,11,1,0,1,0,1,0,0,1,0,5,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,3,0,2,0,0,4,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,,Bezirk Affoltern,Zurich,>> Bezirk Affoltern,Non permanent resident population,Switzerland,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,,Bezirk Affoltern,Zurich,>> Bezirk Affoltern,Non permanent resident population,Abroad,289,0,0,0,0,2,0,20,1,0,1,3,0,0,7,0,0,0,0,0,0,2,8,3,8,0,0,6,1,3,0,1,3,10,1,0,1,0,1,0,0,1,0,5,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,2,0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,Aeugst am Albis,Bezirk Affoltern,Zurich,......0001 Aeugst am Albis,Non permanent resident population,Place of birth - Total,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
