,order,long,lat,group,id,KTNR,lat_coords,long_coords,cantons,Percentage of Perm Residents who are Canadian in Canton,Proportion of Perm Residents who are Canadian in Canton
0,1,692429,281173,0.1,0,1,47.680964887602386,8.65229255757084,Zurich,15.483346872461414,0.15483346872461415
1,2,692993,280860,0.1,0,1,47.67814999685929,8.659697081535102,Zurich,15.483346872461414,0.15483346872461415
2,3,693163,280421,0.1,0,1,47.67420194977908,8.661928937385207,Zurich,15.483346872461414,0.15483346872461415
3,4,693048,280201,0.1,0,1,47.67222342722263,8.660419152759308,Zurich,15.483346872461414,0.15483346872461415
4,5,693243,279410,0.1,0,1,47.66510972622319,8.662979221814373,Zurich,15.483346872461414,0.15483346872461415
5,6,693606,278826,0.1,0,1,47.659857625422106,8.667744881958264,Zurich,15.483346872461414,0.15483346872461415
6,7,693763,278851,0.1,0,1,47.660082458731296,8.669806060017295,Zurich,15.483346872461414,0.15483346872461415
7,8,693872,278450,0.1,0,1,47.65647613000802,8.671237068000638,Zurich,15.483346872461414,0.15483346872461415
8,9,694800,278137,0.1,0,1,47.65366121145389,8.683420295711782,Zurich,15.483346872461414,0.15483346872461415
9,10,695433,277578,0.1,0,1,47.64863392093461,8.691730588373247,Zurich,15.483346872461414,0.15483346872461415
10,11,695844,277859,0.1,0,1,47.651161057498506,8.697126355945692,Zurich,15.483346872461414,0.15483346872461415
11,12,696077,277577,0.1,0,1,47.64862492756152,8.700185265186827,Zurich,15.483346872461414,0.15483346872461415
12,13,696291,277502,0.1,0,1,47.647950424488144,8.702994732137961,Zurich,15.483346872461414,0.15483346872461415
13,14,696634,277725,0.1,0,1,47.6499559464291,8.707497749582878,Zurich,15.483346872461414,0.15483346872461415
14,15,697167,277613,0.1,0,1,47.64894868897251,8.714495133464954,Zurich,15.483346872461414,0.15483346872461415
15,16,698006,277719,0.1,0,1,47.64990198621843,8.725509736455345,Zurich,15.483346872461414,0.15483346872461415
16,17,698045,277383,0.1,0,1,47.64688021257422,8.726021737047004,Zurich,15.483346872461414,0.15483346872461415
17,18,698336,277262,0.1,0,1,47.64579201343935,8.729842045730177,Zurich,15.483346872461414,0.15483346872461415
18,19,698406,277502,0.1,0,1,47.647950424488144,8.730761019425318,Zurich,15.483346872461414,0.15483346872461415
19,20,699116,277771,0.1,0,1,47.650369641338976,8.740082018489563,Zurich,15.483346872461414,0.15483346872461415
20,21,699647,278414,0.1,0,1,47.6561523695687,8.747053051819526,Zurich,15.483346872461414,0.15483346872461415
21,22,699939,278573,0.1,0,1,47.65758231119265,8.750886455051154,Zurich,15.483346872461414,0.15483346872461415
