order,long,lat,group,id,KTNR,lat_coords,long_coords
1,692429,281173,0.1,0,1,47.67466475625691,8.669410792666264
2,692993,280860,0.1,0,1,47.674584984607584,8.67691977177549
3,693163,280421,0.1,0,1,47.67456084477987,8.679183112332412
4,693048,280201,0.1,0,1,47.674577179488004,8.677652029228373
5,693243,279410,0.1,0,1,47.67454946960503,8.680248213094197
6,693606,278826,0.1,0,1,47.6744977320848,8.685081102347345
7,693763,278851,0.1,0,1,47.674475292976354,8.68717135745914
8,693872,278450,0.1,0,1,47.67445969211576,8.688622552695678
9,694800,278137,0.1,0,1,47.67432613604434,8.7009776498652
10,695433,277578,0.1,0,1,47.674234282107854,8.709405176758514
11,695844,277859,0.1,0,1,47.67417431504474,8.714877063239786
12,696077,277577,0.1,0,1,47.67414020465942,8.717979125049675
13,696291,277502,0.1,0,1,47.67410880284017,8.720828225690566
14,696634,277725,0.1,0,1,47.674058326154025,8.725394768161586
15,697167,277613,0.1,0,1,47.67397953246593,8.732490865859733
16,698006,277719,0.1,0,1,47.673854624566516,8.743660855138465
17,698045,277383,0.1,0,1,47.67384879223938,8.744180078692276
18,698336,277262,0.1,0,1,47.67380520085493,8.748054281785354
19,698406,277502,0.1,0,1,47.673794695679035,8.748986219771535
20,699116,277771,0.1,0,1,47.673687720744496,8.75843871378777
21,699647,278414,0.1,0,1,47.673607212886765,8.765508090525493
22,699939,278573,0.1,0,1,47.67356275783379,8.769395573371177
23,700505,278441,0.1,0,1,47.6734762176729,8.77693088205921
24,701220,279153,0.1,0,1,47.673366197082224,8.786449833953172
25,701390,280285,0.1,0,1,47.67333992357778,8.788713075733522
26,702133,280253,0.1,0,1,47.673224575459066,8.798604748595634
27,702488,280294,0.1,0,1,47.67316916563616,8.803330903551988
28,702647,280236,0.1,0,1,47.67314428593862,8.805447685406616
29,702517,279780,0.1,0,1,47.67316463070542,8.803716983401793
30,702642,278847,0.1,0,1,47.67314506890639,8.80538111996819
31,703387,278565,0.1,0,1,47.673027986178184,8.81529934968363
32,704274,278266,0.1,0,1,47.672887482799695,8.82710797952015
33,704387,277604,0.1,0,1,47.67286949707531,8.828612344101375
34,704209,277226,0.1,0,1,47.672897819744826,8.82624263662351
35,703842,276317,0.1,0,1,47.67295606279062,8.82135677150232
36,703312,276101,0.1,0,1,47.673039811360496,8.81430087206467
37,703214,275567,0.1,0,1,47.673055249999614,8.81299619400622
38,703410,275400,0.1,0,1,47.67302435806958,8.815605549402118
39,703209,275158,0.1,0,1,47.67305603729244,8.812929628779836
40,703397,274966,0.1,0,1,47.673026408838815,8.8154324800009
41,702730,274567,0.1,0,1,47.67313128310204,8.806552671411994
42,702664,273942,0.1,0,1,47.673141623562884,8.805674007883312
43,702577,273161,0.1,0,1,47.6731552440168,8.804515769099018
44,701528,273401,0.1,0,1,47.67331856325231,8.790550293966076
45,701630,273958,0.1,0,1,47.673302756512406,8.79190823697417
46,701446,274079,0.1,0,1,47.67333125912237,8.78945861373629
47,699500,274996,0.1,0,1,47.67362954343109,8.76355103346768
48,698970,274886,0.1,0,1,47.67370978121873,8.756494964453955
49,698544,275337,0.1,0,1,47.673773963579855,8.750823467917765
50,698434,275529,0.1,0,1,47.67379049151556,8.74935899486791
51,698280,275349,0.1,0,1,47.67381359961335,8.747308731144294
52,698279,274404,0.1,0,1,47.67381374954769,8.747295417737956
53,697856,274280,0.1,0,1,47.67387703496868,8.741663840460838
54,697805,273856,0.1,0,1,47.673884646686005,8.740984855105856
55,698000,273776,0.1,0,1,47.67385552164166,8.74358097458211
56,698339,273003,0.1,0,1,47.67380475078642,8.748094221991945
57,698526,272973,0.1,0,1,47.67377666941434,8.750583826932509
58,698298,272574,0.1,0,1,47.673810900534185,8.747548372446209
59,698499,272112,0.1,0,1,47.673780727239276,8.750224365411134
60,699530,272191,0.1,0,1,47.67362498885456,8.7639504329942
61,702258,271366,0.1,0,1,47.67320508688841,8.800268888733308
62,702865,271168,0.1,0,1,47.673110111460936,8.80834993670762
63,702591,271130,0.1,0,1,47.67315305299919,8.804702152389766
64,702495,270871,0.1,0,1,47.67316807111517,8.803424095245607
65,702884,270763,0.1,0,1,47.673107129516545,8.808602885047316
66,702782,270267,0.1,0,1,47.67312313139176,8.807244951538909
67,703036,270190,0.1,0,1,47.67308325413482,8.810626470792867
68,702990,269883,0.1,0,1,47.67309048329868,8.810014070025979
69,703203,269819,0.1,0,1,47.67305698199349,8.812849750505702
70,703683,269739,0.1,0,1,47.67298123235813,8.819240003891714
71,703733,269935,0.1,0,1,47.67297332155704,8.819905654289174
72,704088,269906,0.1,0,1,47.67291704519827,8.824631766687014
73,704121,270068,0.1,0,1,47.67291180410795,8.825071094961393
74,704692,269860,0.1,0,1,47.672820854287195,8.832672792336288
75,704778,270117,0.1,0,1,47.672807112966034,8.833817704330906
76,705353,269883,0.1,0,1,47.67271494793401,8.841472624686926
77,705393,269233,0.1,0,1,47.67270851768876,8.842005139945554
78,705817,269328,0.1,0,1,47.67264020701962,8.847649794144296
79,705781,269007,0.1,0,1,47.67264601763682,8.847170531588198
80,706283,269056,0.1,0,1,47.67256481336574,8.85385357266989
81,706298,268744,0.1,0,1,47.67256238102782,8.85405326483348
82,705588,268644,0.1,0,1,47.67267713528799,8.844601150075741
83,705370,268344,0.1,0,1,47.67271221537803,8.841698943686811
84,704676,268359,0.1,0,1,47.672823409567194,8.832459785391476
85,704561,268177,0.1,0,1,47.672841764150576,8.830928797402867
86,704719,267857,0.1,0,1,47.672816541366615,8.833032241511493
87,705083,266736,0.1,0,1,47.67275828824353,8.837878143489625
88,705598,266070,0.1,0,1,47.67267552437038,8.844734278721768
89,705577,265607,0.1,0,1,47.672678907121174,8.84445470855625
90,707519,265393,0.1,0,1,47.67236323754324,8.870308148443204
91,708088,265281,0.1,0,1,47.67226965748105,8.87788307087611
92,708572,265029,0.1,0,1,47.672189668105446,8.884326394376906
93,708797,265299,0.1,0,1,47.672152361276844,8.887321734757757
94,709111,265191,0.1,0,1,47.67210016842482,8.89150189197498
95,709929,264737,0.1,0,1,47.67196349472826,8.902391564138332
96,709711,264185,0.1,0,1,47.672000018543315,8.899489431776981
97,709897,262914,0.1,0,1,47.67196886056238,8.901965563295315
98,709724,262350,0.1,0,1,47.671997842550496,8.899662494822264
99,709556,262036,0.1,0,1,47.67202594320987,8.89742598673795
100,709586,260754,0.1,0,1,47.672020928392946,8.89782536334647
101,709887,260702,0.1,0,1,47.671970537065164,8.9018324380151
102,709961,260393,0.1,0,1,47.67195812733195,8.902817564899552
103,709034,259998,0.1,0,1,47.672112981229176,8.890476822297172
104,709012,259476,0.1,0,1,47.672116640369055,8.890183945160073
105,708773,259232,0.1,0,1,47.67215634435162,8.887002231974344
106,709007,259081,0.1,0,1,47.672117471888775,8.89011738216902
107,708928,258710,0.1,0,1,47.67213060483846,8.889065686647635
108,709459,258622,0.1,0,1,47.672042148387675,8.8961346685468
109,709704,258166,0.1,0,1,47.67200119012496,8.899396243977785
110,709553,258079,0.1,0,1,47.672026444616044,8.897386049073155
111,709718,258003,0.1,0,1,47.671998846886915,8.89958261957227
112,709747,257942,0.1,0,1,47.671993992085454,8.899968683253991
113,710231,256985,0.1,0,1,47.671912777727165,8.906411943062254
114,710875,256321,0.1,0,1,47.67180416152794,8.91498517700481
115,710420,255857,0.1,0,1,47.67188096683052,8.908928004302572
116,710745,255257,0.1,0,1,47.67182613812822,8.913254557931772
117,711872,254843,0.1,0,1,47.67163476081718,8.928257648667064
118,712706,254933,0.1,0,1,47.671491890678325,8.93936013564067
119,712579,254524,0.1,0,1,47.67151371517333,8.937669472825473
120,711694,254601,0.1,0,1,47.67166511607774,8.925888045789664
121,711273,254460,0.1,0,1,47.67173671902399,8.920283525386804
122,711167,254705,0.1,0,1,47.671754704707965,8.918872408725496
123,710826,254318,0.1,0,1,47.671812448043276,8.914332866898622
124,711238,254088,0.1,0,1,47.67174265958878,8.91981759074057
125,711334,253952,0.1,0,1,47.671726361001305,8.921095582676324
126,711102,253573,0.1,0,1,47.67176572518664,8.918007100889849
127,711323,253005,0.1,0,1,47.67172822926101,8.920949146138161
128,711242,252381,0.1,0,1,47.67174198076168,8.919870840419437
129,710574,251203,0.1,0,1,47.67185500654828,8.910978126157204
130,710772,251095,0.1,0,1,47.67182157587873,8.91361399431274
131,711883,250905,0.1,0,1,47.67163288334443,8.928404084715474
132,712732,250044,0.1,0,1,47.67148741963707,8.939706255424237
133,713474,249585,0.1,0,1,47.67135938831451,8.94958395816499
134,713641,249233,0.1,0,1,47.671330456844814,8.951807100646954
135,713383,248742,0.1,0,1,47.67137513545793,8.948372544227587
136,713648,248320,0.1,0,1,47.671329243219404,8.951900286209703
137,713652,248312,0.1,0,1,47.67132854968559,8.951953535100888
138,714011,248190,0.1,0,1,47.671266205621556,8.95673261769769
139,714238,247865,0.1,0,1,47.67122668325453,8.959754483357964
140,714959,245874,0.1,0,1,47.67110063048276,8.969352539268906
141,715501,245947,0.1,0,1,47.671005350197134,8.976567692804688
142,715822,245695,0.1,0,1,47.67094870904813,8.980840862524344
143,716042,245194,0.1,0,1,47.670909798781125,8.983769509661514
144,715959,244356,0.1,0,1,47.67092448723743,8.98266461144786
145,716430,244152,0.1,0,1,47.67084099527278,8.98893456829792
146,716306,242952,0.1,0,1,47.67086300899375,8.987283880838152
147,716899,242097,0.1,0,1,47.67075752155267,8.995177882477831
148,716174,240719,0.1,0,1,47.670886417178394,8.985526695985296
149,714863,240431,0.1,0,1,47.67111745997601,8.968074575933498
150,714233,239019,0.1,0,1,47.67122755463795,8.959687922486378
151,713093,238567,0.1,0,1,47.67142523438099,8.944511989768122
152,713619,238139,0.1,0,1,47.67133427060948,8.951514231709114
153,713695,237640,0.1,0,1,47.67132109265561,8.952525960597638
154,713862,237613,0.1,0,1,47.67129210488092,8.954749100031131
155,714007,237888,0.1,0,1,47.671266901346115,8.956679368925286
156,714251,237771,0.1,0,1,47.67122441747914,8.959927541614375
157,714136,237101,0.1,0,1,47.67124445192924,8.958396641167068
158,713715,236789,0.1,0,1,47.67131762330845,8.952792204962684
159,713945,236492,0.1,0,1,47.671277681955296,8.955854012783576
160,713635,236247,0.1,0,1,47.67133149703568,8.951727227304236
161,713314,235463,0.1,0,1,47.671387067178394,8.9474539991389
162,711308,234771,0.1,0,1,47.671730776590366,8.920749459933987
163,711236,235023,0.1,0,1,47.671742998993174,8.919790965900651
164,709500,234553,0.1,0,1,47.67203530052782,8.896680483543687
165,708611,234445,0.1,0,1,47.672183207121805,8.884845586995972
166,708641,233965,0.1,0,1,47.67217823555539,8.885244965852035
167,708374,233699,0.1,0,1,47.67222243422743,8.881690491537574
168,707661,233458,0.1,0,1,47.672339929895074,8.872198553252034
169,707245,233575,0.1,0,1,47.67240812450941,8.86666046147377
170,706965,234318,0.1,0,1,47.672453876077,8.862932892103098
171,706442,234032,0.1,0,1,47.67253901311879,8.8559703087193
172,706444,233848,0.1,0,1,47.67253868834175,8.855996934317536
173,705921,233841,0.1,0,1,47.67262340968584,8.849034329857565
174,705196,234214,0.1,0,1,47.67274016305416,8.839382501113338
175,704703,234242,0.1,0,1,47.67281909730566,8.83281923459955
176,703404,233800,0.1,0,1,47.673025304610505,8.815525671218518
177,703013,233247,0.1,0,1,47.67308686912027,8.810320270429221
178,702804,233289,0.1,0,1,47.67311968134943,8.807537839224121
179,702753,232902,0.1,0,1,47.67312767804666,8.80685887226226
180,703762,230811,0.1,0,1,47.672968731544834,8.820291731433365
181,702604,231066,0.1,0,1,47.6731510182151,8.804875222575232
182,698622,229778,0.1,0,1,47.673762232585254,8.751861911919047
183,697174,229020,0.1,0,1,47.67397849476864,8.732584060255393
184,696560,228794,0.1,0,1,47.674069231352156,8.724409567276815
185,696337,228499,0.1,0,1,47.67410204379338,8.721440648774628
186,695875,228701,0.1,0,1,47.67416978152975,8.715289784128036
187,695754,228217,0.1,0,1,47.67418746855557,8.713678840927011
188,695139,228028,0.1,0,1,47.67427702015054,8.705490973399613
189,694170,226608,0.1,0,1,47.67441694770526,8.692590036450603
190,694303,225525,0.1,0,1,47.67439782677617,8.69436075710589
191,694973,224986,0.1,0,1,47.67430109290716,8.703280910358957
192,695030,224730,0.1,0,1,47.67429283169985,8.704039787641694
193,695047,224362,0.1,0,1,47.674290366871425,8.70426611941943
194,693749,223902,0.1,0,1,47.67447729544307,8.68698496535173
195,693050,223915,0.1,0,1,47.67457689557852,8.67767865676826
196,692704,224053,0.1,0,1,47.674625921129085,8.673072088348697
197,692650,225093,0.1,0,1,47.674633556039204,8.672353143416185
198,692002,225163,0.1,0,1,47.674724827967964,8.66372578894565
199,691225,224916,0.1,0,1,47.674833425185014,8.653380914877841
200,691037,225192,0.1,0,1,47.67485956257315,8.650877901998761
201,690529,225234,0.1,0,1,47.67492991943245,8.644114429984741
202,689862,225382,0.1,0,1,47.67502169961271,8.635234018722665
203,690162,226078,0.1,0,1,47.674980503155616,8.639228210304257
204,689580,226984,0.1,0,1,47.6750602990893,8.631479473276988
205,689592,227279,0.1,0,1,47.67505865902984,8.631639241273863
206,689329,227482,0.1,0,1,47.675094553311936,8.628137657195724
207,689147,228267,0.1,0,1,47.675119330922236,8.625714505128197
208,688664,228827,0.1,0,1,47.67518484188191,8.619283821941787
209,688408,228900,0.1,0,1,47.67521941973814,8.615875420612868
210,688231,228664,0.1,0,1,47.67524326862263,8.613518828168981
211,687869,228519,0.1,0,1,47.67529189547212,8.608699124377798
212,687711,228863,0.1,0,1,47.67531305667437,8.606595494131184
213,687807,229315,0.1,0,1,47.675300203775194,8.6078736494076
214,687535,229657,0.1,0,1,47.67533658380631,8.604252207932623
215,687058,229707,0.1,0,1,47.675400110084595,8.597901359874369
216,686662,229487,0.1,0,1,47.675452585177126,8.592628946774292
217,686535,229921,0.1,0,1,47.67546936364467,8.590938044519834
218,686707,230256,0.1,0,1,47.67544663414678,8.593228085124757
219,686237,230372,0.1,0,1,47.6755086369841,8.586970411628412
220,686049,230185,0.1,0,1,47.675533343758154,8.58446733834966
221,686027,230192,0.1,0,1,47.67553623145228,8.584174425374632
222,684961,230452,0.1,0,1,47.67567526866199,8.569981424207095
223,684463,230856,0.1,0,1,47.675739628135105,8.563350898626865
224,684398,230679,0.1,0,1,47.67574800055343,8.562485467456298
225,683677,230712,0.1,0,1,47.67584043771281,8.552885821293065
226,683351,230803,0.1,0,1,47.67588197279624,8.548545332884093
227,683143,230544,0.1,0,1,47.675908388983146,8.545775938141272
228,682859,230625,0.1,0,1,47.67594435065441,8.5419946449458
229,682748,230201,0.1,0,1,47.67595837265157,8.540516743819634
230,681343,230387,0.1,0,1,47.676134233551906,8.521809913608498
231,681331,229954,0.1,0,1,47.676135722596136,8.52165013946427
232,680281,229556,0.1,0,1,47.67626516337283,8.507669869032872
233,679581,229407,0.1,0,1,47.67635052279929,8.498349652961613
234,678885,229154,0.1,0,1,47.676434653313144,8.48908266717371
235,678604,229306,0.1,0,1,47.67646841038371,8.485341246925739
236,678385,229137,0.1,0,1,47.676494635748895,8.482425332643542
237,678422,229370,0.1,0,1,47.67649021011609,8.482917975887778
238,678135,229676,0.1,0,1,47.67652448394258,8.479096660032804
239,677476,229692,0.1,0,1,47.67660270684289,8.470322262054646
240,677111,230237,0.1,0,1,47.67664574701903,8.46546238010583
241,676830,230143,0.1,0,1,47.676678743591474,8.461720931654838
242,676763,230347,0.1,0,1,47.6766865933163,8.460828841870926
243,676446,230399,0.1,0,1,47.676723640205495,8.45660805547209
244,676344,230762,0.1,0,1,47.67673552805529,8.455249946357473
245,676130,230676,0.1,0,1,47.67676041764705,8.452400578300969
246,675924,230960,0.1,0,1,47.67678431078971,8.449657726283203
247,675626,230787,0.1,0,1,47.67681876009046,8.4456899070869
248,675063,230920,0.1,0,1,47.676883474076654,8.43819364476444
249,674454,230731,0.1,0,1,47.676952931085005,8.430084879735162
250,674191,231112,0.1,0,1,47.676982751539626,8.426583058738885
251,674087,231889,0.1,0,1,47.67699451454419,8.425198307201256
252,673865,232484,0.1,0,1,47.67701956882963,8.422242393318072
253,674036,232727,0.1,0,1,47.677000276910746,8.424519246138235
254,673844,232986,0.1,0,1,47.67702193493706,8.421962779705561
255,673540,233506,0.1,0,1,47.67705611179467,8.417915037143667
256,672988,234192,0.1,0,1,47.67711780934285,8.410565176196496
257,673102,234816,0.1,0,1,47.67710510554581,8.412083083589845
258,672797,235336,0.1,0,1,47.67713904933808,8.408022014019457
259,672859,235697,0.1,0,1,47.67713216078078,8.408847543314891
260,672895,236203,0.1,0,1,47.67712815828217,8.409326882812405
261,672359,236795,0.1,0,1,47.67718754660996,8.402190043214388
262,672091,237726,0.1,0,1,47.67721707641274,8.39862161774353
263,671862,238116,0.1,0,1,47.67724222215204,8.395572475087157
264,672168,238219,0.1,0,1,47.677208603322164,8.399646874701217
265,672514,237888,0.1,0,1,47.67717041779341,8.404253869655667
266,672989,238323,0.1,0,1,47.67711769799223,8.410578491176627
267,673824,238538,0.1,0,1,47.67702418774721,8.421696481004973
268,674909,239338,0.1,0,1,47.67690109136694,8.436143154362723
269,674864,239390,0.1,0,1,47.6769062324456,8.435543984845646
270,675025,239819,0.1,0,1,47.67688782456264,8.437687679720495
271,674911,240068,0.1,0,1,47.67690086280285,8.43616978411648
272,675424,240959,0.1,0,1,47.67684203458754,8.44300030874791
273,675809,241034,0.1,0,1,47.67679762103599,8.448126521468147
274,675797,241270,0.1,0,1,47.67679900876875,8.447966743532405
275,676392,241878,0.1,0,1,47.676729935750195,8.455889056601002
276,676339,242169,0.1,0,1,47.67673611038494,8.45518337236642
277,676629,242476,0.1,0,1,47.676702272220794,8.45904466155212
278,676750,243150,0.1,0,1,47.67668811560392,8.46065574979429
279,676516,243022,0.1,0,1,47.676715472693154,8.457540090804615
280,676433,242672,0.1,0,1,47.67672515620617,8.456434963166071
281,675850,242324,0.1,0,1,47.67679287795816,8.448672429355401
282,675301,242083,0.1,0,1,47.67685617618953,8.441362581930782
283,675146,242202,0.1,0,1,47.676873964038634,8.439298778665412
284,674895,242305,0.1,0,1,47.6769026911447,8.435956746080329
285,673905,241970,0.1,0,1,47.67701506009711,8.42277499060975
286,673619,242422,0.1,0,1,47.67704724386734,8.41896691808782
287,673926,243009,0.1,0,1,47.677012692035404,8.423054604153487
288,673895,243378,0.1,0,1,47.67701618750908,8.422641841294883
289,673203,243864,0.1,0,1,47.67709383386328,8.41342789570372
290,673007,244240,0.1,0,1,47.6771156934202,8.41081816080995
291,673148,245011,0.1,0,1,47.6770999738381,8.412695572342614
292,673333,245366,0.1,0,1,47.67707930285028,8.415158841190086
293,673188,245417,0.1,0,1,47.67709550885954,8.413228171166644
294,672992,246366,0.1,0,1,47.67711736393123,8.410618436116707
295,673235,246653,0.1,0,1,47.67709025939067,8.413853974676142
296,673143,247049,0.1,0,1,47.677100531788795,8.41262899748363
297,672639,247075,0.1,0,1,47.677156577533836,8.405918244895979
298,672575,247549,0.1,0,1,47.67716366672469,8.405066084875884
