"Permanent and non permanent resident population by institutional units, place of birth and citizenship"

"Year" "Canton (-) / District (>>) / Commune (......)" "Population type" "Citizenship - Total" "Switzerland" "Albania" "Andorra" "Belgium" "Bulgaria" "Denmark" "Germany" "Finland" "France" "Greece" "United Kingdom" "Ireland" "Iceland" "Italy" "Liechtenstein" "Luxembourg" "Malta" "Monaco" "Netherlands" "Norway" "Austria" "Poland" "Portugal" "Romania" "San Marino" "Sweden" "Spain" "Turkey" "Hungary" "Vatican City" "Cyprus" "Slovakia" "Czech Republic" "Serbia" "Croatia" "Slovenia" "Bosnia and Herzegovina" "Montenegro" "Macedonia" "Kosovo" "Estonia" "Latvia" "Lithuania" "Moldova" "Russia" "Ukraine" "Belarus" "Equatorial Guinea" "Ethiopia" "Djibouti" "Algeria" "Angola" "Botswana" "Burundi" "Benin" "Côte d'Ivoire" "Gabon" "Gambia" "Ghana" "Guinea-Bissau" "Guinea" "Cameroon" "Cape Verde" "Kenya" "Comoros" "Congo (Brazzaville)" "Congo (Kinshasa)" "Lesotho" "Liberia" "Libya" "Madagascar" "Malawi" "Mali" "Morocco" "Mauritania" "Mauritius" "Mozambique" "Niger" "Nigeria" "Burkina Faso" "Zimbabwe" "Rwanda" "Zambia" "São Tomé and Príncipe" "Senegal" "Seychelles" "Sierra Leone" "Somalia" "South Africa" "Sudan" "Namibia" "Swaziland" "Tanzania" "Togo" "Chad" "Tunisia" "Uganda" "Egypt" "Central African Republic" "Eritrea" "South Sudan" "Western Sahara" "Argentina" "Bahamas" "Barbados" "Bolivia" "Brazil" "Chile" "Costa Rica" "Dominican Republic" "Ecuador" "El Salvador" "Guatemala" "Guyana" "Haiti" "Belize" "Honduras" "Jamaica" "Canada" "Colombia" "Cuba" "Mexico" "Nicaragua" "Panama" "Paraguay" "Peru" "Suriname" "Trinidad and Tobago" "Uruguay" "Venezuela" "United States" "Dominica" "Grenada" "Antigua and Barbuda" "Saint Lucia" "Saint Vincent and the Grenadines" "Saint Kitts and Nevis" "Afghanistan" "Bahrain" "Bhutan" "Brunei" "Myanmar" "Sri Lanka" "Taiwan (Chinese Taipei)" "China" "India" "Indonesia" "Iraq" "Iran" "Israel" "Japan" "Yemen" "Jordan" "Cambodia" "Qatar" "Kuwait" "Laos" "Lebanon" "Malaysia" "Maldives" "Oman" "Mongolia" "Nepal" "North Korea" "United Arab Emirates" "Pakistan" "Philippines" "Saudi Arabia" "Singapore" "South Korea" "Syria" "Thailand" "Vietnam" "Bangladesh" "Timor-Leste" "Palestine" "Armenia" "Azerbaijan" "Georgia" "Kazakhstan" "Kyrgyzstan" "Tajikistan" "Turkmenistan" "Uzbekistan" "Australia" "Fiji" "Nauru" "Vanuatu" "New Zealand" "Papua New Guinea" "Tonga" "Samoa" "Solomon Islands" "Tuvalu" "Kiribati" "Marshall Islands" "Micronesia" "Palau" "Stateless" "Not attributable according to current borders" "No indication"
"2016" "Switzerland" "Permanent resident population" 8419550 6318404 1696 29 13087 7836 4773 303525 3851 126970 12345 41471 4189 423 316525 1711 1467 251 21 20984 1966 41855 27092 268660 13940 18 7873 83337 68744 19569 2 476 15007 7889 68767 28845 5925 31339 2593 65486 109352 826 2228 2063 701 15516 6533 1178 35 3688 34 4077 3481 60 272 356 1805 128 596 1449 143 949 4474 982 1707 28 660 5932 26 143 822 632 91 266 7531 65 892 110 109 2444 412 317 445 140 15 1544 54 189 7601 1886 873 65 20 325 1512 127 7672 368 2459 56 32888 25 8 1699 28 40 2016 20172 3386 421 5913 2732 238 286 24 487 18 250 354 6769 4544 1715 3030 282 172 455 2825 7 111 346 1249 18954 149 6 13 20 6 41 14300 59 53 24 197 28639 947 17939 13791 1864 8598 5094 1423 5619 563 561 861 55 130 290 2302 1417 49 57 855 509 80 79 3153 5559 658 791 2195 15736 9148 4466 1847 8 232 714 650 664 954 232 95 61 505 3311 40 0 0 815 16 6 7 11 0 1 1 0 0 408 0 1827
"2016" "- Zürich" "Permanent resident population" 1487969 1092631 294 3 1366 1489 1208 88038 1222 8299 4707 9335 1151 142 53465 517 497 66 5 4741 490 12872 6050 28040 2531 0 2204 14057 13355 5247 0 117 4390 2063 13804 5115 1444 3701 564 13628 18352 267 624 534 93 2792 1303 293 0 565 4 534 507 1 16 17 220 5 155 549 10 92 399 16 315 7 113 600 0 30 126 30 4 23 734 6 36 9 5 609 24 56 31 3 1 143 11 34 1666 422 152 11 2 44 103 10 907 45 435 7 5092 1 0 389 5 5 179 4128 541 83 1664 194 20 49 2 62 5 36 147 1032 782 425 653 37 29 74 582 3 19 38 258 4495 3 3 3 7 0 3 2732 5 3 1 19 4805 195 3856 4331 398 1746 1057 480 1282 111 111 173 1 1 63 638 293 8 2 149 84 5 2 894 1203 15 196 486 3017 2292 554 833 0 41 96 95 89 79 35 5 12 74 757 9 0 0 201 3 1 0 0 0 0 0 0 0 102 0 331
"2016" ">> Bezirk Affoltern" "Permanent resident population" 52904 43097 4 0 28 31 34 2602 20 102 57 340 32 3 1295 7 6 13 0 195 9 281 199 282 56 0 39 233 122 176 0 0 157 53 554 170 42 178 13 258 529 11 17 25 3 75 26 14 0 12 0 11 7 0 0 0 3 0 0 16 0 1 7 0 3 0 0 26 0 0 0 0 0 0 10 0 0 0 0 7 0 0 0 0 0 4 0 0 17 14 2 0 0 1 3 0 11 0 10 0 199 0 0 4 0 0 5 112 6 2 21 6 0 0 0 0 0 1 1 20 13 7 18 1 0 2 13 0 0 1 9 94 0 0 0 0 0 0 155 0 0 0 1 94 2 45 51 7 32 10 1 28 6 1 36 0 0 1 8 11 0 0 2 0 0 0 9 23 0 8 5 152 51 3 5 0 1 4 2 0 3 0 0 0 0 30 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 16
"2016" "......0001 Aeugst am Albis" "Permanent resident population" 1977 1718 0 0 0 1 0 84 0 9 0 24 2 1 21 0 1 0 0 18 2 8 2 3 0 0 1 15 0 8 0 0 6 1 1 1 0 2 0 0 2 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 9 0 0 0 0 0 0 2 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0002 Affoltern am Albis" "Permanent resident population" 11900 8586 2 0 6 7 1 563 0 15 9 45 14 0 550 1 0 0 0 36 1 71 69 114 18 0 4 78 46 63 0 0 39 12 361 73 15 100 9 130 311 7 4 10 1 17 5 0 0 8 0 5 0 0 0 0 2 0 0 5 0 1 2 0 3 0 0 7 0 0 0 0 0 0 7 0 0 0 0 1 0 0 0 0 0 2 0 0 4 1 2 0 0 0 3 0 4 0 5 0 108 0 0 1 0 0 4 54 1 0 14 2 0 0 0 0 0 0 1 7 8 1 9 0 0 1 0 0 0 0 1 10 0 0 0 0 0 0 57 0 0 0 0 36 2 9 10 1 5 0 0 2 0 0 16 0 0 0 6 5 0 0 0 0 0 0 8 10 0 1 0 24 14 1 5 0 0 0 0 0 1 0 0 0 0 2 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 3
"2016" "......0003 Bonstetten" "Permanent resident population" 5435 4666 0 0 5 6 3 247 4 11 13 19 3 0 101 1 1 0 0 29 0 25 23 14 5 0 11 12 8 20 0 0 8 14 2 18 1 8 4 16 17 0 0 3 2 8 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 9 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 9 3 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 1 0 0 0 1 8 0 0 0 0 0 0 15 0 0 0 0 0 0 4 1 2 0 3 0 2 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 2 11 3 1 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0004 Hausen am Albis" "Permanent resident population" 3571 3052 0 0 1 0 7 171 1 8 0 46 0 0 31 0 1 0 0 24 0 24 8 30 3 0 5 4 7 13 0 0 7 3 14 5 1 1 0 4 6 0 0 1 0 7 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 15 0 0 0 0 0 0 5 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 5 9 0 0 0 0 0 0 13 0 0 0 0 16 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0005 Hedingen" "Permanent resident population" 3687 3135 0 0 0 2 1 153 0 4 1 11 0 0 84 1 0 0 0 2 0 7 4 11 1 0 2 16 14 1 0 0 12 2 17 18 2 13 0 22 48 0 1 0 0 3 0 4 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 6 0 0 1 0 0 0 4 1 1 3 0 0 0 0 0 0 0 0 3 1 0 1 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 15 0 0 0 0 0 0 0 4 1 4 0 0 2 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 3 0 0 0 24 3 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0006 Kappel am Albis" "Permanent resident population" 1110 910 0 0 0 5 1 58 0 5 0 56 1 0 16 0 0 0 0 11 0 5 0 1 1 0 1 3 4 5 0 0 5 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0007 Knonau" "Permanent resident population" 2168 1796 1 0 1 0 2 126 1 2 0 18 0 0 45 1 0 13 0 3 1 11 11 29 1 0 1 7 8 12 0 0 3 5 3 6 3 7 0 0 4 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 1 7 0 0 0 0 0 0 6 0 0 0 0 5 0 0 3 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
