order,long,lat,group,id,KTNR,lat_coords,long_coords
1,692429,281173,0.1,0,1,47.6809648876024,8.65229255757084
2,692993,280860,0.1,0,1,47.678149996859304,8.659697081535102
3,693163,280421,0.1,0,1,47.67420194977908,8.661928937385207
4,693048,280201,0.1,0,1,47.672223427222626,8.660419152759308
5,693243,279410,0.1,0,1,47.66510972622319,8.662979221814373
6,693606,278826,0.1,0,1,47.65985762542209,8.667744881958265
7,693763,278851,0.1,0,1,47.6600824587313,8.669806060017295
8,693872,278450,0.1,0,1,47.65647613000802,8.671237068000638
9,694800,278137,0.1,0,1,47.65366121145388,8.683420295711782
10,695433,277578,0.1,0,1,47.64863392093461,8.691730588373247
11,695844,277859,0.1,0,1,47.651161057498506,8.69712635594569
12,696077,277577,0.1,0,1,47.648624927561514,8.700185265186828
13,696291,277502,0.1,0,1,47.64795042448813,8.702994732137961
14,696634,277725,0.1,0,1,47.649955946429095,8.707497749582878
15,697167,277613,0.1,0,1,47.64894868897251,8.714495133464954
16,698006,277719,0.1,0,1,47.64990198621843,8.725509736455345
17,698045,277383,0.1,0,1,47.64688021257422,8.726021737047002
18,698336,277262,0.1,0,1,47.64579201343935,8.729842045730178
19,698406,277502,0.1,0,1,47.64795042448813,8.730761019425318
20,699116,277771,0.1,0,1,47.650369641338976,8.740082018489563
21,699647,278414,0.1,0,1,47.6561523695687,8.747053051819526
22,699939,278573,0.1,0,1,47.65758231119265,8.750886455051152
23,700505,278441,0.1,0,1,47.65639518990211,8.758316938185907
24,701220,279153,0.1,0,1,47.662798443503746,8.767703469107085
25,701390,280285,0.1,0,1,47.67297886329508,8.76993522618062
26,702133,280253,0.1,0,1,47.67269107815187,8.779689292353535
27,702488,280294,0.1,0,1,47.67305980286054,8.784349699833891
28,702647,280236,0.1,0,1,47.67253819228092,8.78643703422744
29,702517,279780,0.1,0,1,47.66843725009438,8.78473040876312
30,702642,278847,0.1,0,1,47.66004648540319,8.786371394809802
31,703387,278565,0.1,0,1,47.6575103644638,8.796151647427727
32,704274,278266,0.1,0,1,47.65482135398906,8.807796001176335
33,704387,277604,0.1,0,1,47.648867748623665,8.809279437687737
34,704209,277226,0.1,0,1,47.64546825162261,8.806942696549948
35,703842,276317,0.1,0,1,47.63729325200781,8.802124801354648
36,703312,276101,0.1,0,1,47.63535067396538,8.795167060120598
37,703214,275567,0.1,0,1,47.63054818299721,8.793880532069604
38,703410,275400,0.1,0,1,47.62904627853524,8.796453587450591
39,703209,275158,0.1,0,1,47.626869864515925,8.793814892864011
40,703397,274966,0.1,0,1,47.62514312149869,8.796282925703421
41,702730,274567,0.1,0,1,47.62155472994961,8.787526648287725
42,702664,273942,0.1,0,1,47.615933805812695,8.786660208233455
43,702577,273161,0.1,0,1,47.60890988183413,8.785518082210885
44,701528,273401,0.1,0,1,47.61106832400636,8.771746886239406
45,701630,273958,0.1,0,1,47.61607770162331,8.773085938423412
46,701446,274079,0.1,0,1,47.6171659134317,8.770670392750556
47,699500,274996,0.1,0,1,47.62541292517181,8.7451232197729
48,698970,274886,0.1,0,1,47.6244236448983,8.738165308962776
49,698544,275337,0.1,0,1,47.62847969159276,8.73257270939778
50,698434,275529,0.1,0,1,47.630206432358904,8.731128608805276
51,698280,275349,0.1,0,1,47.62858761292482,8.729106866521954
52,698279,274404,0.1,0,1,47.62008879411633,8.729093738319772
53,697856,274280,0.1,0,1,47.61897360310759,8.723540502401377
54,697805,273856,0.1,0,1,47.615160365693306,8.722870962458439
55,698000,273776,0.1,0,1,47.614440886304806,8.725430967123936
56,698339,273003,0.1,0,1,47.60748890642557,8.729881430324296
57,698526,272973,0.1,0,1,47.60721910088057,8.732336402087366
58,698298,272574,0.1,0,1,47.60363068447534,8.72934317414903
59,698499,272112,0.1,0,1,47.59947566984579,8.731981941078248
60,699530,272191,0.1,0,1,47.600186159828034,8.745517063174688
61,702258,271366,0.1,0,1,47.59276647647917,8.78133028197149
62,702865,271168,0.1,0,1,47.590985749361664,8.789298911022057
63,702591,271130,0.1,0,1,47.59064399351475,8.785701872643422
64,702495,270871,0.1,0,1,47.58831465643294,8.784441595098407
65,702884,270763,0.1,0,1,47.58734334924427,8.789548340482755
66,702782,270267,0.1,0,1,47.58288252647198,8.788209297798437
67,703036,270190,0.1,0,1,47.582190019038705,8.791543775196331
68,702990,269883,0.1,0,1,47.57942898111653,8.790939893820699
69,703203,269819,0.1,0,1,47.57885338978849,8.793736125814824
70,703683,269739,0.1,0,1,47.578133900453736,8.800037481205123
71,703733,269935,0.1,0,1,47.57989664897903,8.800693871394698
72,704088,269906,0.1,0,1,47.57963583421968,8.80535423631654
73,704121,270068,0.1,0,1,47.581092799099864,8.805787452853712
74,704692,269860,0.1,0,1,47.57922212799732,8.81328339865454
75,704778,270117,0.1,0,1,47.58153348585099,8.814412383091593
76,705353,269883,0.1,0,1,47.57942898111653,8.821960811056915
77,705393,269233,0.1,0,1,47.573583125921495,8.822485918149233
78,705817,269328,0.1,0,1,47.574437520939966,8.828052045785094
79,705781,269007,0.1,0,1,47.57155056404573,8.827579450578675
80,706283,269056,0.1,0,1,47.57199125237086,8.834169519173185
81,706298,268744,0.1,0,1,47.569185235676755,8.834366433274408
82,705588,268644,0.1,0,1,47.568285870731636,8.825045813468662
83,705370,268344,0.1,0,1,47.565587774093544,8.82218398158612
84,704676,268359,0.1,0,1,47.565722678989594,8.813073354976252
85,704561,268177,0.1,0,1,47.564085832461764,8.811563665465783
86,704719,267857,0.1,0,1,47.56120785813975,8.813637847317485
87,705083,266736,0.1,0,1,47.55112593026165,8.818416334982201
88,705598,266070,0.1,0,1,47.54513611425217,8.82517709007311
89,705577,265607,0.1,0,1,47.54097201523818,8.824901409194906
90,707519,265393,0.1,0,1,47.539047353955006,8.850395182607535
91,708088,265281,0.1,0,1,47.53804005405674,8.85786472387469
92,708572,265029,0.1,0,1,47.535773627943414,8.864218408563142
93,708797,265299,0.1,0,1,47.53820194156516,8.867172078008501
94,709111,265191,0.1,0,1,47.53723061637236,8.871294081120197
95,709929,264737,0.1,0,1,47.533147449333015,8.88203225628252
96,709711,264185,0.1,0,1,47.52818288572233,8.879170498427555
97,709897,262914,0.1,0,1,47.51675176457678,8.881612181972548
98,709724,262350,0.1,0,1,47.51167924588725,8.879341153818789
99,709556,262036,0.1,0,1,47.508855180119554,8.87713576003297
100,709586,260754,0.1,0,1,47.49732504810869,8.8775295805167609
101,709887,260702,0.1,0,1,47.49685736626499,8.881480908733911
102,709961,260393,0.1,0,1,47.494078255275376,8.88245233051069
103,709034,259998,0.1,0,1,47.49052566611866,8.870283272162533
104,709012,259476,0.1,0,1,47.485830845384214,8.869994469516904
105,708773,259232,0.1,0,1,47.483636328866275,8.866857020124874
106,709007,259081,0.1,0,1,47.48227824609159,8.86992883254664
107,708928,258710,0.1,0,1,47.47894149697848,8.868891768153716
108,709459,258622,0.1,0,1,47.47815003032081,8.875862406645123
109,709704,258166,0.1,0,1,47.474048790568865,8.879078607057462
110,709553,258079,0.1,0,1,47.47326631654215,8.877096377980651
111,709718,258003,0.1,0,1,47.47258277584214,8.879262389793737
112,709747,257942,0.1,0,1,47.47203414437555,8.879643082554885
113,710231,256985,0.1,0,1,47.46342691272826,8.885996703550806
114,710875,256321,0.1,0,1,47.457454900286294,8.894450666015778
115,710420,255857,0.1,0,1,47.4532816796541,8.88847776120531
116,710745,255257,0.1,0,1,47.447885265024325,8.892744123483245
117,711872,254843,0.1,0,1,47.44416173327258,8.907538489132767
118,712706,254933,0.1,0,1,47.44497119708878,8.918486515838822
119,712579,254524,0.1,0,1,47.441292631996426,8.916819373951657
120,711694,254601,0.1,0,1,47.44198517393344,8.905201852595447
121,711273,254460,0.1,0,1,47.44071701260331,8.899675303142992
122,711167,254705,0.1,0,1,47.44292055499886,8.898283818122405
123,710826,254318,0.1,0,1,47.43943985668365,8.893807430913318
124,711238,254088,0.1,0,1,47.437371222713345,8.899215850642278
125,711334,253952,0.1,0,1,47.43614802978882,8.90047606297889
126,711102,253573,0.1,0,1,47.43273927632088,8.89743054855701
127,711323,253005,0.1,0,1,47.42763063602003,8.900331663686464
128,711242,252381,0.1,0,1,47.42201831713588,8.899268359504514
129,710574,251203,0.1,0,1,47.411423238588775,8.890499361619652
130,710772,251095,0.1,0,1,47.41045187134246,8.893098559351955
131,711883,250905,0.1,0,1,47.408742983785324,8.907682887935442
132,712732,250044,0.1,0,1,47.400999013202835,8.918827820314288
133,713474,249585,0.1,0,1,47.39687068658908,8.92856810157
134,713641,249233,0.1,0,1,47.39370473311036,8.930760314957624
135,713383,248742,0.1,0,1,47.38928858249318,8.927373541210953
136,713648,248320,0.1,0,1,47.38549302655601,8.930852204091268
137,713652,248312,0.1,0,1,47.38542107284537,8.93090471216582
138,714011,248190,0.1,0,1,47.38432377855711,8.935617306469995
139,714238,247865,0.1,0,1,47.38140065669116,8.938597130786462
140,714959,245874,0.1,0,1,47.363493104597666,8.948061654499677
141,715501,245947,0.1,0,1,47.36414968660405,8.955176427381968
142,715822,245695,0.1,0,1,47.36188312898292,8.959390146566989
143,716042,245194,0.1,0,1,47.357376991912744,8.962278048789456
144,715959,244356,0.1,0,1,47.349839766824665,8.961188522520894
145,716430,244152,0.1,0,1,47.34800492661578,8.967371248212661
146,716306,242952,0.1,0,1,47.33721172847209,8.965743526068454
