"Permanent and non permanent resident population by canton, sex, residence permit, age class and citizenship"

"Year" "Canton" "Population type" "Residence permit" "Sex" "Age class" "Canada"
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "Age class - Total" 497
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "0-4 years" 17
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "5-9 years" 6
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "10-14 years" 4
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "15-19 years" 74
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "20-24 years" 108
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "25-29 years" 95
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "30-34 years" 52
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "35-39 years" 26
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "40-44 years" 29
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "45-49 years" 26
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "50-54 years" 25
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "55-59 years" 14
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "60-64 years" 14
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "65-69 years" 3
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "70-74 years" 1
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "75-79 years" 1
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "80-84 years" 2
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "Age class - Total" 254
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "0-4 years" 8
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "5-9 years" 2
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "10-14 years" 3
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "15-19 years" 21
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "20-24 years" 46
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "25-29 years" 46
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "30-34 years" 24
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "35-39 years" 23
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "40-44 years" 17
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "45-49 years" 18
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "50-54 years" 19
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "55-59 years" 13
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "60-64 years" 10
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "65-69 years" 1
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "70-74 years" 1
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "75-79 years" 1
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "80-84 years" 1
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Man" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "Age class - Total" 243
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "0-4 years" 9
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "5-9 years" 4
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "10-14 years" 1
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "15-19 years" 53
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "20-24 years" 62
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "25-29 years" 49
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "30-34 years" 28
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "35-39 years" 3
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "40-44 years" 12
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "45-49 years" 8
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "50-54 years" 6
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "55-59 years" 1
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "60-64 years" 4
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "65-69 years" 2
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "80-84 years" 1
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit - Total" "Woman" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "Age class - Total" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "Age class - Total" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "Age class - Total" 0
