"Permanent and non permanent resident population by institutional units, place of birth and citizenship"

"Year" "Canton (-) / District (>>) / Commune (......)" "Population type" "Place of birth" "Citizenship - Total" "Switzerland" "Albania" "Andorra" "Belgium" "Bulgaria" "Denmark" "Germany" "Finland" "France" "Greece" "United Kingdom" "Ireland" "Iceland" "Italy" "Liechtenstein" "Luxembourg" "Malta" "Monaco" "Netherlands" "Norway" "Austria" "Poland" "Portugal" "Romania" "San Marino" "Sweden" "Spain" "Turkey" "Hungary" "Vatican City" "Cyprus" "Slovakia" "Czech Republic" "Serbia" "Croatia" "Slovenia" "Bosnia and Herzegovina" "Montenegro" "Macedonia" "Kosovo" "Estonia" "Latvia" "Lithuania" "Moldova" "Russia" "Ukraine" "Belarus" "Equatorial Guinea" "Ethiopia" "Djibouti" "Algeria" "Angola" "Botswana" "Burundi" "Benin" "Côte d'Ivoire" "Gabon" "Gambia" "Ghana" "Guinea-Bissau" "Guinea" "Cameroon" "Cape Verde" "Kenya" "Comoros" "Congo (Brazzaville)" "Congo (Kinshasa)" "Lesotho" "Liberia" "Libya" "Madagascar" "Malawi" "Mali" "Morocco" "Mauritania" "Mauritius" "Mozambique" "Niger" "Nigeria" "Burkina Faso" "Zimbabwe" "Rwanda" "Zambia" "São Tomé and Príncipe" "Senegal" "Seychelles" "Sierra Leone" "Somalia" "South Africa" "Sudan" "Namibia" "Swaziland" "Tanzania" "Togo" "Chad" "Tunisia" "Uganda" "Egypt" "Central African Republic" "Eritrea" "South Sudan" "Western Sahara" "Argentina" "Bahamas" "Barbados" "Bolivia" "Brazil" "Chile" "Costa Rica" "Dominican Republic" "Ecuador" "El Salvador" "Guatemala" "Guyana" "Haiti" "Belize" "Honduras" "Jamaica" "Canada" "Colombia" "Cuba" "Mexico" "Nicaragua" "Panama" "Paraguay" "Peru" "Suriname" "Trinidad and Tobago" "Uruguay" "Venezuela" "United States" "Dominica" "Grenada" "Antigua and Barbuda" "Saint Lucia" "Saint Vincent and the Grenadines" "Saint Kitts and Nevis" "Afghanistan" "Bahrain" "Bhutan" "Brunei" "Myanmar" "Sri Lanka" "Taiwan (Chinese Taipei)" "China" "India" "Indonesia" "Iraq" "Iran" "Israel" "Japan" "Yemen" "Jordan" "Cambodia" "Qatar" "Kuwait" "Laos" "Lebanon" "Malaysia" "Maldives" "Oman" "Mongolia" "Nepal" "North Korea" "United Arab Emirates" "Pakistan" "Philippines" "Saudi Arabia" "Singapore" "South Korea" "Syria" "Thailand" "Vietnam" "Bangladesh" "Timor-Leste" "Palestine" "Armenia" "Azerbaijan" "Georgia" "Kazakhstan" "Kyrgyzstan" "Tajikistan" "Turkmenistan" "Uzbekistan" "Australia" "Fiji" "Nauru" "Vanuatu" "New Zealand" "Papua New Guinea" "Tonga" "Samoa" "Solomon Islands" "Tuvalu" "Kiribati" "Marshall Islands" "Micronesia" "Palau" "Stateless" "Not attributable according to current borders" "No indication"
"2016" "Switzerland" "Permanent resident population" "Place of birth - Total" 8419550 6318404 1696 29 13087 7836 4773 303525 3851 126970 12345 41471 4189 423 316525 1711 1467 251 21 20984 1966 41855 27092 268660 13940 18 7873 83337 68744 19569 2 476 15007 7889 68767 28845 5925 31339 2593 65486 109352 826 2228 2063 701 15516 6533 1178 35 3688 34 4077 3481 60 272 356 1805 128 596 1449 143 949 4474 982 1707 28 660 5932 26 143 822 632 91 266 7531 65 892 110 109 2444 412 317 445 140 15 1544 54 189 7601 1886 873 65 20 325 1512 127 7672 368 2459 56 32888 25 8 1699 28 40 2016 20172 3386 421 5913 2732 238 286 24 487 18 250 354 6769 4544 1715 3030 282 172 455 2825 7 111 346 1249 18954 149 6 13 20 6 41 14300 59 53 24 197 28639 947 17939 13791 1864 8598 5094 1423 5619 563 561 861 55 130 290 2302 1417 49 57 855 509 80 79 3153 5559 658 791 2195 15736 9148 4466 1847 8 232 714 650 664 954 232 95 61 505 3311 40 0 0 815 16 6 7 11 0 1 1 0 0 408 0 1827
"2016" "Switzerland" "Permanent resident population" "Switzerland" 5939518 5535896 263 2 1537 523 569 34949 456 15624 1518 4561 468 39 99398 909 146 15 0 2899 283 5846 2294 52282 948 7 1025 20469 21168 1255 0 24 1164 672 17753 7734 688 7048 681 19410 33866 59 169 125 47 1133 280 54 2 762 6 702 1052 0 35 35 225 6 41 268 12 127 577 191 140 4 154 1737 0 27 205 44 7 19 858 3 78 10 15 308 30 24 57 7 0 140 8 30 1781 124 135 4 1 30 289 35 1496 35 195 0 5876 0 2 70 2 1 167 1202 432 10 658 270 13 14 2 48 0 7 28 614 277 56 118 23 5 22 195 0 2 22 40 1138 10 0 0 0 2 3 1019 3 1 0 8 7333 21 1533 1561 100 1531 417 142 258 93 63 181 2 6 35 305 94 2 3 93 30 2 4 532 455 38 37 94 1481 344 565 371 0 35 59 57 57 46 18 8 3 38 237 1 0 0 70 1 1 1 2 0 0 0 0 0 61 0 410
"2016" "Switzerland" "Permanent resident population" "Abroad" 2480032 782508 1433 27 11550 7313 4204 268576 3395 111346 10827 36910 3721 384 217127 802 1321 236 21 18085 1683 36009 24798 216378 12992 11 6848 62868 47576 18314 2 452 13843 7217 51014 21111 5237 24291 1912 46076 75486 767 2059 1938 654 14383 6253 1124 33 2926 28 3375 2429 60 237 321 1580 122 555 1181 131 822 3897 791 1567 24 506 4195 26 116 617 588 84 247 6673 62 814 100 94 2136 382 293 388 133 15 1404 46 159 5820 1762 738 61 19 295 1223 92 6176 333 2264 56 27012 25 6 1629 26 39 1849 18970 2954 411 5255 2462 225 272 22 439 18 243 326 6155 4267 1659 2912 259 167 433 2630 7 109 324 1209 17816 139 6 13 20 4 38 13281 56 52 24 189 21306 926 16406 12230 1764 7067 4677 1281 5361 470 498 680 53 124 255 1997 1323 47 54 762 479 78 75 2621 5104 620 754 2101 14255 8804 3901 1476 8 197 655 593 607 908 214 87 58 467 3074 39 0 0 745 15 5 6 9 0 1 1 0 0 347 0 1417
"2016" "- Zürich" "Permanent resident population" "Place of birth - Total" 1487969 1092631 294 3 1366 1489 1208 88038 1222 8299 4707 9335 1151 142 53465 517 497 66 5 4741 490 12872 6050 28040 2531 0 2204 14057 13355 5247 0 117 4390 2063 13804 5115 1444 3701 564 13628 18352 267 624 534 93 2792 1303 293 0 565 4 534 507 1 16 17 220 5 155 549 10 92 399 16 315 7 113 600 0 30 126 30 4 23 734 6 36 9 5 609 24 56 31 3 1 143 11 34 1666 422 152 11 2 44 103 10 907 45 435 7 5092 1 0 389 5 5 179 4128 541 83 1664 194 20 49 2 62 5 36 147 1032 782 425 653 37 29 74 582 3 19 38 258 4495 3 3 3 7 0 3 2732 5 3 1 19 4805 195 3856 4331 398 1746 1057 480 1282 111 111 173 1 1 63 638 293 8 2 149 84 5 2 894 1203 15 196 486 3017 2292 554 833 0 41 96 95 89 79 35 5 12 74 757 9 0 0 201 3 1 0 0 0 0 0 0 0 102 0 331
"2016" "- Zürich" "Permanent resident population" "Switzerland" 989230 920008 26 0 135 98 130 10417 156 985 575 1022 110 14 17502 269 37 7 0 684 69 1782 486 5294 183 0 326 3099 3482 353 0 5 364 164 2903 1077 150 614 120 3539 4747 12 45 29 2 217 53 20 0 126 0 87 148 0 1 1 35 0 11 122 2 5 61 0 31 4 25 194 0 6 32 2 0 3 76 1 1 0 0 99 1 7 4 0 0 12 0 9 415 25 23 2 0 2 21 0 158 2 30 0 990 0 0 10 0 0 14 204 61 4 224 11 0 2 0 9 0 0 12 79 43 8 21 0 1 3 42 0 0 1 12 301 0 0 0 0 0 0 243 0 0 0 2 1021 13 383 519 17 298 87 41 50 15 18 29 0 0 10 118 21 0 0 19 4 0 0 156 114 0 11 23 355 107 65 154 0 9 6 13 5 0 1 0 1 5 43 0 0 0 20 0 1 0 0 0 0 0 0 0 18 0 69
"2016" "- Zürich" "Permanent resident population" "Abroad" 498739 172623 268 3 1231 1391 1078 77621 1066 7314 4132 8313 1041 128 35963 248 460 59 5 4057 421 11090 5564 22746 2348 0 1878 10958 9873 4894 0 112 4026 1899 10901 4038 1294 3087 444 10089 13605 255 579 505 91 2575 1250 273 0 439 4 447 359 1 15 16 185 5 144 427 8 87 338 16 284 3 88 406 0 24 94 28 4 20 658 5 35 9 5 510 23 49 27 3 1 131 11 25 1251 397 129 9 2 42 82 10 749 43 405 7 4102 1 0 379 5 5 165 3924 480 79 1440 183 20 47 2 53 5 36 135 953 739 417 632 37 28 71 540 3 19 37 246 4194 3 3 3 7 0 3 2489 5 3 1 17 3784 182 3473 3812 381 1448 970 439 1232 96 93 144 1 1 53 520 272 8 2 130 80 5 2 738 1089 15 185 463 2662 2185 489 679 0 32 90 82 84 79 34 5 11 69 714 9 0 0 181 3 0 0 0 0 0 0 0 0 84 0 262
"2016" ">> Bezirk Affoltern" "Permanent resident population" "Place of birth - Total" 52904 43097 4 0 28 31 34 2602 20 102 57 340 32 3 1295 7 6 13 0 195 9 281 199 282 56 0 39 233 122 176 0 0 157 53 554 170 42 178 13 258 529 11 17 25 3 75 26 14 0 12 0 11 7 0 0 0 3 0 0 16 0 1 7 0 3 0 0 26 0 0 0 0 0 0 10 0 0 0 0 7 0 0 0 0 0 4 0 0 17 14 2 0 0 1 3 0 11 0 10 0 199 0 0 4 0 0 5 112 6 2 21 6 0 0 0 0 0 1 1 20 13 7 18 1 0 2 13 0 0 1 9 94 0 0 0 0 0 0 155 0 0 0 1 94 2 45 51 7 32 10 1 28 6 1 36 0 0 1 8 11 0 0 2 0 0 0 9 23 0 8 5 152 51 3 5 0 1 4 2 0 3 0 0 0 0 30 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 16
"2016" ">> Bezirk Affoltern" "Permanent resident population" "Switzerland" 40198 38293 0 0 5 0 6 387 4 14 9 40 7 0 473 5 0 2 0 40 1 56 19 43 4 0 10 51 40 16 0 0 17 7 145 48 4 43 3 61 135 1 0 1 0 5 0 2 0 0 0 1 4 0 0 0 0 0 0 6 0 0 0 0 0 0 0 11 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 4 1 0 0 0 0 1 0 0 0 0 0 36 0 0 0 0 0 0 6 0 0 4 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 13 0 0 0 0 0 0 9 0 0 0 0 21 0 6 13 0 7 2 0 0 1 0 8 0 0 0 2 2 0 0 0 0 0 0 0 2 0 2 0 15 1 0 3 0 0 1 0 0 0 0 0 0 0 7 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4
"2016" ">> Bezirk Affoltern" "Permanent resident population" "Abroad" 12706 4804 4 0 23 31 28 2215 16 88 48 300 25 3 822 2 6 11 0 155 8 225 180 239 52 0 29 182 82 160 0 0 140 46 409 122 38 135 10 197 394 10 17 24 3 70 26 12 0 12 0 10 3 0 0 0 3 0 0 10 0 1 7 0 3 0 0 15 0 0 0 0 0 0 9 0 0 0 0 6 0 0 0 0 0 4 0 0 13 13 2 0 0 1 2 0 11 0 10 0 163 0 0 4 0 0 5 106 6 2 17 5 0 0 0 0 0 1 1 18 13 7 18 1 0 2 11 0 0 1 9 81 0 0 0 0 0 0 146 0 0 0 1 73 2 39 38 7 25 8 1 28 5 1 28 0 0 1 6 9 0 0 2 0 0 0 9 21 0 6 5 137 50 3 2 0 1 3 2 0 3 0 0 0 0 23 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 12
"2016" "......0001 Aeugst am Albis" "Permanent resident population" "Place of birth - Total" 1977 1718 0 0 0 1 0 84 0 9 0 24 2 1 21 0 1 0 0 18 2 8 2 3 0 0 1 15 0 8 0 0 6 1 1 1 0 2 0 0 2 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 9 0 0 0 0 0 0 2 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
