"Permanent and non permanent resident population by canton, sex, residence permit, age class and citizenship"

"Year" "Canton" "Population type" "Residence permit" "Sex" "Age class" "Canada"
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "Age class - Total" 6769
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "0-4 years" 364
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "5-9 years" 355
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "10-14 years" 321
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "15-19 years" 240
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "20-24 years" 301
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "25-29 years" 506
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "30-34 years" 748
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "35-39 years" 849
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "40-44 years" 839
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "45-49 years" 721
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "50-54 years" 547
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "55-59 years" 399
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "60-64 years" 226
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "65-69 years" 136
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "70-74 years" 93
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "75-79 years" 58
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "80-84 years" 34
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "85-89 years" 22
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "90-94 years" 8
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "95-99 years" 2
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Sex - Total" "100 years or older" 0
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "Age class - Total" 3130
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "0-4 years" 186
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "5-9 years" 172
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "10-14 years" 172
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "15-19 years" 122
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "20-24 years" 138
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "25-29 years" 182
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "30-34 years" 278
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "35-39 years" 345
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "40-44 years" 342
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "45-49 years" 362
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "50-54 years" 290
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "55-59 years" 213
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "60-64 years" 114
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "65-69 years" 89
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "70-74 years" 57
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "75-79 years" 34
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "80-84 years" 17
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "85-89 years" 12
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "90-94 years" 4
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "95-99 years" 1
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Man" "100 years or older" 0
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "Age class - Total" 3639
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "0-4 years" 178
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "5-9 years" 183
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "10-14 years" 149
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "15-19 years" 118
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "20-24 years" 163
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "25-29 years" 324
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "30-34 years" 470
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "35-39 years" 504
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "40-44 years" 497
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "45-49 years" 359
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "50-54 years" 257
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "55-59 years" 186
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "60-64 years" 112
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "65-69 years" 47
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "70-74 years" 36
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "75-79 years" 24
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "80-84 years" 17
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "85-89 years" 10
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "90-94 years" 4
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "95-99 years" 1
"2016" "Switzerland" "Permanent resident population" "Residence permit - Total" "Woman" "100 years or older" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "Age class - Total" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "0-4 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "5-9 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "10-14 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "15-19 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "20-24 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "25-29 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "30-34 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "35-39 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "40-44 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "45-49 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "50-54 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "55-59 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "60-64 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "65-69 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "70-74 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "75-79 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "80-84 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "85-89 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "90-94 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "95-99 years" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Sex - Total" "100 years or older" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Man" "Age class - Total" 0
"2016" "Switzerland" "Permanent resident population" "Swiss" "Man" "0-4 years" 0
